"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","HS4","HS4 ID"
,,,,,,,,,,,0.7328861956,0.6782113275,0.9243954019,0.9516161069,0.9197612635,0.9138955601,0.8623099334,0.8659292065,0.5962424598,0.491250024,0.377760351,0.3468131902,0.4278900884,0.5714048374,"Animal Fat","0209"
0.2430771003,0.4909776923,0.4029789576,0.5799497073,0.7234130119,0.7954430539,0.7650372338,0.7645957824,0.5746831001,0.0542040026,0.2493403571,0.1785955154,0.250450292,0.0882936954,0.155433197,0.1564956041,-0.1239468539,-0.0288586028,0.0202918054,0.2443007545,0.3887140378,0.314182007,0.2002966361,0.2217335752,0.2506706843,"Preserved Meat","0210"
-1.4585683624,-1.4518928368,-1.4303230008,-1.4031670223,-1.3117061132,-1.211096226,-1.0552589652,-1.1772511294,-1.128981808,-1.0444738797,-1.0695843942,-1.0162481933,-1.0502551336,-0.9850188343,-1.0631847523,-1.0433105151,-0.7284420477,-0.7583910025,-0.7990822728,-0.786599823,-0.8383444091,-0.77151455,-0.9646840335,-1.1134457535,-1.2813721673,"Live Fish","0301"
-1.198269789,-1.2066867258,-1.3178237478,-1.4863210243,-1.5423851101,-1.4853103726,-1.452602342,-1.4017151599,-1.3968249585,-1.3419156536,-1.4423174727,-1.596482024,-1.6060193406,-1.6445574605,-1.5678410238,-1.5741349302,-1.1759872264,-1.2827314594,-1.3156825073,-1.3380580434,-1.4508480018,-1.4506883376,-1.4555845073,-1.2209652069,-1.3130666956,"Non-fillet Fresh Fish","0302"
-1.7542284171,-1.5765665499,-1.579064692,-1.6519294222,-1.7864564607,-1.6875179506,-1.6097986718,-1.5878392381,-1.5166164891,-1.4832384509,-1.4787406449,-1.5398897315,-1.6099094873,-1.5527474956,-1.4986040382,-1.6010059435,-1.4278939413,-1.3986781433,-1.446618514,-1.5455769071,-1.6734437891,-1.6618079855,-1.7088422829,-1.6311644726,-1.7712353754,"Non-fillet Frozen Fish","0303"
-1.5510664348,-1.4821919716,-1.4985349155,-1.4759291542,-1.4799918911,-1.6901791467,-1.7035796756,-1.710235687,-1.5001213427,-1.3976010735,-1.4014105566,-1.3673263353,-1.4576039429,-1.4374865795,-1.5057308601,-1.1788560443,-1.1503243121,-0.9705963951,-0.9508794261,-0.9513622488,-0.9169498864,-1.1662316333,-1.0304765574,-1.0358660477,-1.1935885147,"Fish Fillets","0304"
-1.8937340487,-1.8728098659,-1.8031172777,-1.9348286205,-1.8946648741,-1.7813399614,-1.7965413002,-1.7921025495,-1.7515545287,-1.6954420035,-1.736801998,-1.750151828,-1.6205285978,-1.5554330006,-1.4672883234,-1.4833639725,-1.512617403,-1.5226407847,-1.5126802794,-1.5700448275,-1.5008735659,-1.4738340259,-1.5393165532,-1.3789540802,-1.3726657438,"Processed Fish","0305"
-2.451059943,-2.4416329133,-2.3662963097,-2.3996522894,-2.3313144633,-2.2347291621,-2.1674545175,-2.0602534651,-2.0061837577,-1.97579387,-1.9687758964,-2.0945274671,-1.9379120541,-1.8835065156,-1.7821566481,-1.7935567017,-1.6280912072,-1.6975892396,-1.6891015815,-1.7990037,-1.8545882432,-1.8705087775,-1.9458961201,-2.0333969244,-1.9152238984,"Crustaceans","0306"
-2.1130849709,-2.0493118089,-1.9834897411,-2.0137903498,-1.9955928861,-1.9661864846,-1.8918472799,-1.8012809146,-1.7886051551,-1.796270212,-1.8091633174,-1.9749775635,-1.8640431313,-1.8488604091,-1.8906202961,-1.8369399421,-1.7830380009,-1.6998756506,-1.5874640002,-1.455720421,-1.6949157083,-1.6095536692,-1.6505533803,-1.5527285139,-1.5806390135,"Molluscs","0307"
0.0805519684,0.0814087768,0.2502034787,0.1138541972,0.1683839244,0.2606530728,0.2923583627,0.1125404795,0.2879144265,0.2192382268,0.0729539145,0.1411307714,-0.0334029062,-0.0523527082,-0.0879245035,-0.2072171914,-0.2604028891,-0.3121854837,-0.2095361814,-0.3934946862,-0.2804900718,-0.3959415631,-0.2877265286,-0.17479396,-0.1022805761,"Milk","0401"
-0.1390103046,-0.323156283,-0.4332207075,-0.3570992973,-0.3275911843,-0.7218153945,-0.9014353894,-0.8743074181,-0.8883725206,-0.890097627,-0.8989963314,-1.1045524052,-0.9915718503,-0.9074473974,-0.9178263003,-1.1131087376,-0.9534062099,-0.9181754315,-0.9942235642,-0.9391765897,-0.7852779997,-0.8974464057,-0.8500275766,-0.8819096709,-0.9223797183,"Concentrated Milk","0402"
-0.2729567135,-0.0939349821,-0.1799811256,-0.0126563857,-0.0068147893,-0.0036147386,0.0045350719,0.0243817541,-0.049731747,0.010107099,0.1047279605,0.0826919872,0.1133926477,0.1848943846,0.1291369242,0.0541648501,-0.1595072936,-0.1047186716,-0.0593799258,-0.0919910316,-0.1838544539,-0.0420320743,-0.0462965775,-0.072684939,-0.1960911733,"Fermented Milk Products","0403"
0.6620452857,0.9096688133,0.6205489482,0.5881282399,0.5112031268,0.8671157323,0.8353974829,0.8116692043,0.4790073702,0.6299704056,0.6399332309,0.5222087638,0.7044183126,0.7028688262,0.6904231241,0.6526788313,0.5717828072,0.6155176866,0.6398579755,0.3532207153,0.3480516463,0.1789191081,0.1958122824,0.4546812355,0.4137627244,"Whey","0404"
0.2080017788,0.1352800112,0.1320605327,0.1953010236,0.243645398,0.3612088265,0.2058346122,0.0100117166,0.0538679001,0.0510491928,0.0116285353,-0.1766121764,-0.2008440468,-0.0677952707,-0.1843835507,-0.4031602593,-0.115296037,-0.1743720323,-0.3731789244,-0.3400692639,-0.3155923826,-0.2854502504,-0.2246182136,0.0849578679,0.0309638819,"Butter","0405"
