"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belarus","BLR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8895.47651248387","8784.42045113033","7924.01489322442","7305.34258331295","6458.18614237422","5805.26691258759","5987.78568941429","6698.74456753512","7296.05459067832","7575.91832595163","8053.17363808324","8477.08401148315","8961.64111959338","9660.19368845286","10839.9562728165","11940.1865961058","13214.87158024","14417.3535308989","15942.8976797373","16010.439955622","17288.4043493433","18251.7809447653","18576.7286760826","18760.16352402","19066.8868190919","18307.5196678406","17822.6065945418","18280.1989190642","18885.2354999668","19283.1171477055","19148.1751007952",
"Belize","BLZ","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4797.7030318623","5247.49418894572","5783.78495115472","6044.09136306967","5931.97984975602","5817.81272301919","5715.96752070691","5707.15806475607","5697.61620762314","5971.3673014852","6521.47060419163","6619.14248771816","6739.01600080428","7175.4601414742","7326.42011977336","7276.9808195126","7430.7095618256","7276.53930200183","7339.25802173483","7172.11775929068","7208.61069092473","7174.189436738","7178.7479002103","7110.02164259067","7236.73542903796","7271.75487510451","7121.96629753971","7108.75319295171","7176.18402164154","7166.35247770667","6047.67621765122",
"Bermuda","BMU","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65961.4062778196","63958.8962542416","64385.4074102651","65967.8500138776","65904.7204209603","68313.3818545185","69643.4075205287","72403.8804374561","74677.0924239116","76772.3238467835","83181.5263421175","88231.783860841","86364.153739107","88727.3112693061","90195.8115646944","91114.0769901835","95615.3606970562","98257.9926982026","95855.800692618","89961.9827443671","88399.9159492493","85829.3782604391","80982.367755316","80503.6502910788","77361.1048812589","77842.7539032209","78149.352535184","81834.9558735543","81422.1346003442","81804.2656772398","",
"Bolivia","BOL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4587.42938007566","4728.04750680671","4705.58714437393","4804.53997650619","4925.1077628698","5050.31379311773","5164.25007246686","5312.08101398684","5469.46974039296","5386.17921765389","5415.52605872594","5402.7594827722","5434.08384596393","5479.26690987038","5605.20188071818","5749.5316482698","5920.70977527505","6085.38645143937","6351.22621007293","6455.96836924018","6612.80335615827","6844.98378189022","7081.3861272006","7444.49080829729","7730.6384010095","7984.41198156828","8202.54423045523","8423.69755843668","8655.53149655131","8724.47418614251","7931.75430816228",
"Brazil","BRA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10517.670146105","10490.4863619769","10264.746214492","10566.2283026793","10949.5276967553","11250.5718469155","11317.6765209917","11520.3312256088","11383.8884811351","11269.0094160738","11597.143411122","11598.6940488726","11796.9703562233","11782.4679011855","12312.3345628029","12561.819835679","12917.9170908166","13560.5449573102","14110.3451380236","13957.6793361056","14868.3299888251","15318.3057631563","15473.7123315024","15800.0388864004","15744.3464124167","15059.2351040903","14446.4129454974","14519.8495494285","14663.4450582694","14759.0292301575","14059.3695983786",
"Barbados","BRB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13984.1925159608","13388.5891086477","12579.4681689116","12632.1897441016","12836.3812807789","13042.6157319939","13505.7981330451","14086.065609887","14548.8183416476","14537.0020282853","15124.4362400335","14713.4035365796","14778.8722467196","15050.4034602071","15210.0718404141","15752.3601314013","16612.7345662264","16903.8729554071","16946.6709613034","16019.7146273444","15596.6168113309","15444.7463207601","15335.848046216","15088.4413511106","15041.5547480584","15382.7656890531","15738.0786618241","15789.0411622149","15674.9043195592","15639.0478442375","12870.0425037649",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71232.7894299057","71405.3781168295","72705.7280387677","70908.808193536","71176.3419341277","72446.9016285935","72695.1521137332","69939.9771764035","67986.1383522654","68540.8209299076","69022.8801555068","69483.9048609962","70771.5988195667","71483.1808953436","70616.6200359784","69787.8222042953","71843.5233564564","71051.7107888333","68856.1616923591","66851.1170370043","67753.4217667143","69388.8131973129","69090.341492818","66715.6926477592","64190.8241471541","63147.4834900843","60867.2918657417","60994.5315563275","60389.1846472589","62098.0113423415","62243.5831517924",
"Bhutan","BTN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2880.57165808107","2848.23881503317","2979.90744528359","3050.14095270966","3205.2913357816","3414.55075456272","3559.02916248669","3680.66534075738","3810.85978074076","4018.92748886381","4061.4990262661","4308.52560449866","4686.01084721764","4957.52912891143","5165.17346931653","5456.70774972036","5761.7501411583","6743.04653246607","6995.7793047569","7393.91785456585","8190.57622279014","8744.95764294872","9084.00445533749","9163.5635511192","9574.0290039124","10086.0727954667","10775.1903107625","11142.4746724654","11348.4419521","11832.1582535521","10909.1001689407",
"Botswana","BWA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9074.20570003535","9460.14504314027","9470.34182281321","9406.4298693945","9510.11616815872","9935.45358450539","10266.2483255724","10863.2708060998","10666.3268912724","11447.3335791467","11439.908400073","11253.9430497053","11727.1836973897","12059.2087897589","12167.0150797253","12484.2304348309","13256.974309378","14051.5412554853","14616.002351689","13235.9563332678","14126.382270078","14770.4390405053","15245.9809916856","16786.0964647609","17264.3958032611","16714.3978216526","17117.272788253","17253.6874951645","17634.6561910867","17776.8083134036","16040.0084730125",
"Central African Republic","CAF","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1201.67466482263","1165.24025915045","1060.63824569914","1033.83095855892","1053.74593400989","1098.89456102112","1027.6500375198","1055.25775055814","1078.45382610606","1091.36082709233","1040.10383462572","1062.72230628262","1077.95412734811","998.99994514318","1037.84466970449","1026.91390767575","1055.08733366913","1082.68664802488","1085.44025590048","1161.19001087794","1201.35219681679","1242.71480100483","1300.28880967492","824.943275653475","822.611194894812","852.749236638592","884.495196541199","912.803045335037","933.10995060419","945.142042928865","928.589507504538",
"Canada","CAN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34041.8641975149","34704.6438519647","35790.479862645","37202.4925183458","37317.7718002722","38177.4154596372","39276.7607963655","40435.0317932399","42056.0228421376","43367.6211117636","45898.4658716977","45861.6117725399","44013.1962687191","44871.2899502486","45832.5716375166","46136.5552498984","46714.929479492","47574.9635351631","47532.4858478244","47467.9164730692","48327.614814477","48807.4364477991","49017.41147369","45910.1749548491",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13943.9860467212","12600.7406664413","12347.6028861738","12544.3453767096","13056.3322021556","13819.0093965154","14475.9110203874","14765.5103113016","15172.7466669887","15464.5027819898","16165.4689902896","16789.6914789928","17519.8229485132","18280.6300174502","19426.9080861167","20447.8675742388","21854.3938402533","23339.7091650805","24402.2629308157","23620.8556054066","24042.8200171187","24861.5742481134","25111.4489516341","25514.8042424617","26343.5334952903","27440.609344517","28386.843302337","29879.6064082162","31289.8487679633","32579.9854174373","31356.2843869577",
"Switzerland","CHE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54367.9848156249","53200.98154406","52594.6398583088","52052.1668012055","52294.566693746","52196.0695535849","52222.726494919","53279.2482193659","54749.5114212836","55440.1463656885","57321.6450475839","57857.662025238","57418.4760356591","56967.3538429997","58173.4268495656","59468.1795277858","61468.8654373808","63356.2438989959","64280.0673314711","62161.7041055672","63528.0721379211","64032.1615502281","64127.0160452865","64548.6812296406","65326.1582207037","65657.4416098475","66272.5755052197","66697.5709718466","68139.2854255498","68474.2643839534","66358.9848260085",
"Channel Islands","CHI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9850.01375085817","10445.1383450523","11421.4616386752","11977.4696631192","12383.3424169634","13288.3601882113","13991.4451355747","14828.5661530326","15272.0381314697","15023.4725268889","15638.5807519217","15974.2122262926","16293.7899339926","16783.5610751766","17807.8303650115","18635.3173495453","19604.4246729794","20347.495250212","20841.1769113238","20299.0035205645","21263.2553323519","22338.6887760279","23301.3062099942","24007.7024321173","24173.9611993162","24441.3214385595","24532.2672853624","24471.6109211716","25029.8379854795","24968.5059325246","23325.3895513801",
"China","CHN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1423.89634790694","1534.70527155054","1731.65721549486","1949.53426823277","2178.92405676034","2391.47711558908","2601.36342607355","2812.71113459432","3004.42734154667","3206.7300257078","3451.67923092817","3712.33813234026","4024.35569663502","4400.8251834116","4817.21184452702","5334.64663938118","5979.78171182457","6795.17401237911","7412.87436349117","8069.35463837661","8884.58803122501","9686.61528974304","10397.5614154938","11149.8675587694","11917.3384959919","12691.8215526906","13487.8224816771","14344.4212394407","15242.9858575816","16092.3007670491","16410.7977967793",
"Cote d'Ivoire","CIV","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4499.87536315517","4342.39188816492","4179.62285016229","4027.23755079273","3922.8172395173","4064.93371984806","4240.16367903237","4263.54876487999","4342.12577428784","4290.3961283192","4093.87478193688","4001.95631136697","3848.77608618401","3717.05255316659","3685.17970253609","3670.1809218819","3646.27218791902","3630.0476448341","3639.89348128385","3673.26125023814","3660.90384745152","3417.77838502631","3692.64764324942","3922.54088429798","4161.94030038249","4417.15021465621","4615.70925676518","4830.75051522678","5033.47882607719","5212.5540214586","5174.10055275463",
"Cameroon","CMR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3222.94502828307","3008.80209666","2831.1883600103","2532.74030521183","2514.81105219408","2531.46826225582","2571.74454739035","2635.78982998656","2683.49769260793","2726.66790575704","2750.51116534278","2795.87200139324","2837.96071231464","2889.28118516733","3003.2509850175","2982.02508108575","3002.13471877633","3064.12480418293","3084.98521956417","3067.22249864945","3086.22147446812","3126.78623748455","3180.7723352259","3262.76329893494","3362.66480874789","3458.69271277944","3524.44304142568","3554.52153858315","3603.5482750681","3642.27627296726","3576.3494994505",
