country,product,export_val
AGO,0101,14758
AGO,0102,0
AGO,0103,0
AGO,0104,0
AGO,0105,0
AGO,0106,712531
AGO,0201,0
AGO,0202,92504
AGO,0203,0
AGO,0204,0
AGO,0205,0
AGO,0206,6474
AGO,0207,25595
AGO,0208,0
AGO,0209,0
AGO,0210,0
AGO,0301,0
AGO,0302,63457
AGO,0303,26091770
AGO,0304,250510
AGO,0305,580832
AGO,0306,17464772
AGO,0307,116662
AGO,0401,0
AGO,0402,348433
AGO,0403,0
AGO,0404,0
AGO,0405,0
AGO,0406,0
AGO,0407,0
AGO,0408,0
AGO,0409,0
AGO,0410,0
AGO,0501,0
AGO,0502,0
AGO,0504,0
AGO,0505,0
AGO,0506,0
AGO,0507,22256
AGO,0508,0
AGO,0510,0
AGO,0511,0
AGO,0601,0
AGO,0602,0
AGO,0603,0
AGO,0604,0
AGO,0701,0
AGO,0702,7022
AGO,0703,23082
AGO,0704,0
AGO,0705,0
AGO,0706,0
AGO,0707,0
AGO,0708,0
AGO,0709,0
AGO,0710,0
AGO,0711,0
AGO,0712,0
AGO,0713,8707
AGO,0714,74122
AGO,0801,0
AGO,0802,0
AGO,0803,2669094
AGO,0804,92218
AGO,0805,0
AGO,0806,0
AGO,0807,88417
AGO,0808,0
AGO,0809,0
AGO,0810,34814
AGO,0811,0
AGO,0812,0
AGO,0813,0
AGO,0814,0
AGO,0901,1118178
AGO,0902,1206
AGO,0903,0
AGO,0904,1381
AGO,0905,0
AGO,0906,0
AGO,0907,0
AGO,0908,0
AGO,0909,41999
AGO,0910,0
AGO,1001,0
AGO,1002,0
AGO,1003,0
AGO,1004,0
AGO,1005,140742
AGO,1006,20703
AGO,1007,15071
AGO,1008,0
AGO,1101,0
AGO,1102,15207
AGO,1103,1567
AGO,1104,0
AGO,1105,6814
AGO,1106,3981
AGO,1107,152900
AGO,1108,0
AGO,1109,0
AGO,1201,0
AGO,1202,1350
AGO,1203,0
AGO,1204,0
AGO,1205,0
AGO,1206,0
AGO,1207,0
AGO,1208,0
AGO,1209,2970
AGO,1210,0
AGO,1211,8500
AGO,1212,8189
AGO,1213,0
AGO,1214,30704
AGO,1301,0
AGO,1302,0
AGO,1401,0
AGO,1404,0
AGO,1501,0
AGO,1502,0
AGO,1503,0
AGO,1504,333099
AGO,1505,0
AGO,1506,0
AGO,1507,0
AGO,1508,0
AGO,1509,0
AGO,1510,0
AGO,1511,158887
AGO,1512,0
AGO,1513,0
AGO,1514,0
AGO,1515,4529
AGO,1516,1095
AGO,1517,10034
AGO,1518,0
AGO,1519,0
AGO,1520,0
AGO,1521,0
AGO,1522,0
AGO,1601,1769
AGO,1602,21310
AGO,1603,0
AGO,1604,3777
AGO,1605,166475
AGO,1701,22113
AGO,1702,0
AGO,1703,0
AGO,1704,5974
AGO,1801,0
AGO,1802,0
AGO,1803,0
AGO,1804,0
AGO,1805,0
AGO,1806,7970
AGO,1901,9757
AGO,1902,6357
AGO,1903,0
AGO,1904,55097
AGO,1905,2914
AGO,2001,0
AGO,2002,0
AGO,2003,0
AGO,2004,0
AGO,2005,0
AGO,2006,0
AGO,2007,0
AGO,2008,3723
AGO,2009,19219
AGO,2101,0
AGO,2102,0
AGO,2103,0
AGO,2104,1106
AGO,2105,0
AGO,2106,1083
AGO,2201,2091
AGO,2202,37414
AGO,2203,268352
AGO,2204,61591
AGO,2205,0
AGO,2206,7060
AGO,2207,3440730
AGO,2208,44001
AGO,2209,0
AGO,2301,1485199
AGO,2302,11601090
AGO,2303,0
AGO,2304,0
AGO,2305,0
AGO,2306,0
AGO,2307,0
AGO,2308,0
AGO,2309,4676
AGO,2401,0
AGO,2402,169426
AGO,2403,0
AGO,2501,15816
AGO,2502,0
AGO,2503,0
AGO,2504,0
AGO,2505,19826
AGO,2506,319808
AGO,2507,0
AGO,2508,19255
AGO,2509,0
