rca,country,product
.0035628538282281,AGO,0101
0,AGO,0102
0,AGO,0103
0,AGO,0104
0,AGO,0105
.5019951070356075,AGO,0106
0,AGO,0201
.0028101370838635,AGO,0202
0,AGO,0203
0,AGO,0204
0,AGO,0205
.0006794651353069,AGO,0206
.0007659052939367,AGO,0207
0,AGO,0208
0,AGO,0209
0,AGO,0210
0,AGO,0301
.0024030452776384,AGO,0302
.9545935307739184,AGO,0303
.0086484838790281,AGO,0304
.0756255818363723,AGO,0305
.5532224969256538,AGO,0306
.0091150438205167,AGO,0307
0,AGO,0401
.0140245713025093,AGO,0402
0,AGO,0403
0,AGO,0404
0,AGO,0405
0,AGO,0406
0,AGO,0407
0,AGO,0408
0,AGO,0409
0,AGO,0410
0,AGO,0501
0,AGO,0502
0,AGO,0504
0,AGO,0505
0,AGO,0506
.1188838211777348,AGO,0507
0,AGO,0508
0,AGO,0510
0,AGO,0511
0,AGO,0601
0,AGO,0602
0,AGO,0603
0,AGO,0604
0,AGO,0701
.0006111072429575,AGO,0702
.0025372856166731,AGO,0703
0,AGO,0704
0,AGO,0705
0,AGO,0706
0,AGO,0707
0,AGO,0708
0,AGO,0709
0,AGO,0710
0,AGO,0711
0,AGO,0712
.0007729503278756,AGO,0713
.0292262502161799,AGO,0714
0,AGO,0801
0,AGO,0802
.1539969630333631,AGO,0803
.0050474508288432,AGO,0804
0,AGO,0805
0,AGO,0806
.0174517551250612,AGO,0807
0,AGO,0808
0,AGO,0809
.0014454790565019,AGO,0810
0,AGO,0811
0,AGO,0812
0,AGO,0813
0,AGO,0814
.0308862154004523,AGO,0901
.0001257058206314,AGO,0902
0,AGO,0903
.0003071434424498,AGO,0904
0,AGO,0905
0,AGO,0906
0,AGO,0907
0,AGO,0908
.0331248983317089,AGO,0909
0,AGO,0910
0,AGO,1001
0,AGO,1002
0,AGO,1003
0,AGO,1004
.0031174956938513,AGO,1005
.0006913124793114,AGO,1006
.0145951275478469,AGO,1007
0,AGO,1008
0,AGO,1101
.0128824066762997,AGO,1102
.001118603876097,AGO,1103
0,AGO,1104
.0065646897145708,AGO,1105
.0048857011893956,AGO,1106
.0311343396302972,AGO,1107
0,AGO,1108
0,AGO,1109
0,AGO,1201
.0003611346475748,AGO,1202
0,AGO,1203
0,AGO,1204
0,AGO,1205
0,AGO,1206
0,AGO,1207
0,AGO,1208
.0003013630087629,AGO,1209
0,AGO,1210
.0021918416301999,AGO,1211
.0056480869076568,AGO,1212
0,AGO,1213
.0082787327860662,AGO,1214
0,AGO,1301
0,AGO,1302
0,AGO,1401
0,AGO,1404
0,AGO,1501
0,AGO,1502
0,AGO,1503
.1339344828767622,AGO,1504
0,AGO,1505
0,AGO,1506
0,AGO,1507
0,AGO,1508
0,AGO,1509
0,AGO,1510
.0045590726674588,AGO,1511
0,AGO,1512
0,AGO,1513
0,AGO,1514
.0008233131050246,AGO,1515
.0002648160548559,AGO,1516
.0014254052258203,AGO,1517
0,AGO,1518
0,AGO,1519
0,AGO,1520
0,AGO,1521
0,AGO,1522
.0002644474908882,AGO,1601
.0010051201793508,AGO,1602
0,AGO,1603
.0001768163975001,AGO,1604
.0079351876019651,AGO,1605
.0008410003699149,AGO,1701
0,AGO,1702
0,AGO,1703
.0004068701081168,AGO,1704
0,AGO,1801
0,AGO,1802
0,AGO,1803
0,AGO,1804
0,AGO,1805
.0002153918886139,AGO,1806
.0003301090325012,AGO,1901
.0004994643938682,AGO,1902
0,AGO,1903
.0067075419523862,AGO,1904
.0000635127604875,AGO,1905
0,AGO,2001
0,AGO,2002
0,AGO,2003
0,AGO,2004
0,AGO,2005
0,AGO,2006
0,AGO,2007
.0001775594139331,AGO,2008
.0010802342515463,AGO,2009
0,AGO,2101
0,AGO,2102
0,AGO,2103
.0002641345014397,AGO,2104
0,AGO,2105
.0000191397985283,AGO,2106
.0004200979838656,AGO,2201
.0013919504032383,AGO,2202
.0128133449694349,AGO,2203
.0014006926763233,AGO,2204
0,AGO,2205
.0036774742319908,AGO,2206
.3008919153252345,AGO,2207
.0010483740387677,AGO,2208
0,AGO,2209
.1851766940419856,AGO,2301
4.666761034794525,AGO,2302
0,AGO,2303
0,AGO,2304
0,AGO,2305
0,AGO,2306
0,AGO,2307
0,AGO,2308
.0001216855387531,AGO,2309
0,AGO,2401
.0051601331307585,AGO,2402
0,AGO,2403
.0037270887375815,AGO,2501
0,AGO,2502
0,AGO,2503
0,AGO,2504
.0083282905566273,AGO,2505
.4110150652037449,AGO,2506
0,AGO,2507
.0070415439115871,AGO,2508
0,AGO,2509
0,AGO,2510
.6926097588972201,AGO,2511
0,AGO,2512
0,AGO,2513
0,AGO,2514
.7138981940228674,AGO,2515
11.17147312581737,AGO,2516
0,AGO,2517
0,AGO,2518
0,AGO,2519
.9551184916611282,AGO,2520
0,AGO,2521
0,AGO,2522
.1444949020949845,AGO,2523
0,AGO,2524
0,AGO,2525
0,AGO,2526
0,AGO,2528
0,AGO,2529
.001652344907274,AGO,2530
8.00270993718e-06,AGO,2601
.1981512775260255,AGO,2602
0,AGO,2603
0,AGO,2604
0,AGO,2605
0,AGO,2606
.0004623957441148,AGO,2607
0,AGO,2608
0,AGO,2609
0,AGO,2610
0,AGO,2611
0,AGO,2612
0,AGO,2613
0,AGO,2614
.0031658764750402,AGO,2615
0,AGO,2616
0,AGO,2617
0,AGO,2618
0,AGO,2619
.0348443425890609,AGO,2620
0,AGO,2621
0,AGO,2701
0,AGO,2702
0,AGO,2703
0,AGO,2704
0,AGO,2705
0,AGO,2706
.5706129094546465,AGO,2707
0,AGO,2708
19.64602508538212,AGO,2709
.3751737182760433,AGO,2710
3.856257691600504,AGO,2711
0,AGO,2712
0,AGO,2713
.0108959685556248,AGO,2714
0,AGO,2715
0,AGO,2716
0,AGO,2801
0,AGO,2802
0,AGO,2803
.0033204072586833,AGO,2804
0,AGO,2805
0,AGO,2806
0,AGO,2807
0,AGO,2808
0,AGO,2809
0,AGO,2810
.0006941617959213,AGO,2811
0,AGO,2812
0,AGO,2813
0,AGO,2814
.0006722853229693,AGO,2815
0,AGO,2816
0,AGO,2817
0,AGO,2818
0,AGO,2819
0,AGO,2820
0,AGO,2821
0,AGO,2822
0,AGO,2823
0,AGO,2824
0,AGO,2825
0,AGO,2826
0,AGO,2827
0,AGO,2828
0,AGO,2829
0,AGO,2830
0,AGO,2831
0,AGO,2832
.013285043283566,AGO,2833
0,AGO,2834
0,AGO,2835
.0076448692698748,AGO,2836
0,AGO,2837
.0456192848456304,AGO,2839
0,AGO,2840
0,AGO,2841
0,AGO,2842
0,AGO,2843
.0049928633411514,AGO,2844
0,AGO,2845
0,AGO,2846
0,AGO,2847
0,AGO,2848
0,AGO,2849
0,AGO,2850
0,AGO,2851
0,AGO,2901
0,AGO,2902
0,AGO,2903
0,AGO,2904
.000147954661196,AGO,2905
0,AGO,2906
0,AGO,2907
0,AGO,2908
0,AGO,2909
0,AGO,2910
0,AGO,2911
0,AGO,2912
0,AGO,2913
0,AGO,2914
.0015976894402848,AGO,2915
0,AGO,2916
0,AGO,2917
0,AGO,2918
0,AGO,2919
0,AGO,2920
0,AGO,2921
0,AGO,2922
0,AGO,2923
0,AGO,2924
0,AGO,2925
0,AGO,2926
0,AGO,2927
0,AGO,2928
.0177665196945412,AGO,2929
0,AGO,2930
0,AGO,2931
0,AGO,2932
0,AGO,2933
0,AGO,2934
0,AGO,2935
0,AGO,2936
0,AGO,2937
0,AGO,2938
0,AGO,2939
0,AGO,2940
0,AGO,2941
.0015064995326305,AGO,2942
0,AGO,3001
.0000227481304722,AGO,3002
0,AGO,3003
.0006477616127663,AGO,3004
0,AGO,3005
.0000839598370556,AGO,3006
0,AGO,3101
.0009380429216089,AGO,3102
0,AGO,3103
.0012858186393474,AGO,3104
.0033662481689871,AGO,3105
0,AGO,3201
0,AGO,3202
0,AGO,3203
0,AGO,3204
0,AGO,3205
0,AGO,3206
0,AGO,3207
.0011803937079506,AGO,3208
0,AGO,3209
0,AGO,3210
0,AGO,3211
0,AGO,3212
0,AGO,3213
0,AGO,3214
0,AGO,3215
0,AGO,3301
0,AGO,3302
.0006140201854487,AGO,3303
.0001175924267435,AGO,3304
.0004759479159058,AGO,3305
0,AGO,3306
0,AGO,3307
.0032731537279612,AGO,3401
.002065475652926,AGO,3402
.0001185366040793,AGO,3403
0,AGO,3404
0,AGO,3405
0,AGO,3406
0,AGO,3407
0,AGO,3501
0,AGO,3502
0,AGO,3503
0,AGO,3504
.0004988535667002,AGO,3505
.0002638842031026,AGO,3506
0,AGO,3507
0,AGO,3601
0,AGO,3602
0,AGO,3603
0,AGO,3604
.0226122155616376,AGO,3605
0,AGO,3606
0,AGO,3701
0,AGO,3702
0,AGO,3703
0,AGO,3704
0,AGO,3705
0,AGO,3706
0,AGO,3707
0,AGO,3801
0,AGO,3802
0,AGO,3803
0,AGO,3804
0,AGO,3805
0,AGO,3806
0,AGO,3807
.0000563332451614,AGO,3808
0,AGO,3809
0,AGO,3810
.0001709375868559,AGO,3811
0,AGO,3812
0,AGO,3813
0,AGO,3814
0,AGO,3815
0,AGO,3816
0,AGO,3817
0,AGO,3818
0,AGO,3819
0,AGO,3820
0,AGO,3821
.0002284464875201,AGO,3822
.0245922337422632,AGO,3823
0,AGO,3901
.0004336866605573,AGO,3902
0,AGO,3903
0,AGO,3904
0,AGO,3905
.0007409980114869,AGO,3906
.0019762524962529,AGO,3907
0,AGO,3908
0,AGO,3909
.0007358840996258,AGO,3910
0,AGO,3911
0,AGO,3912
.0089670891294285,AGO,3913
0,AGO,3914
0,AGO,3915
0,AGO,3916
.0031181578219466,AGO,3917
0,AGO,3918
.0042889770735735,AGO,3919
0,AGO,3920
0,AGO,3921
0,AGO,3922
.0010443225438096,AGO,3923
.0054404747240261,AGO,3924
.0007289377048076,AGO,3925
.000946869239074,AGO,3926
0,AGO,4001
0,AGO,4002
0,AGO,4003
0,AGO,4004
0,AGO,4005
0,AGO,4006
0,AGO,4007
.000327500618075,AGO,4008
.017202156872999,AGO,4009
.0006811890524163,AGO,4010
.0004685379168192,AGO,4011
.024107178598202,AGO,4012
0,AGO,4013
0,AGO,4014
0,AGO,4015
.0227925684116457,AGO,4016
0,AGO,4017
0,AGO,4101
0,AGO,4102
0,AGO,4103
0,AGO,4104
0,AGO,4105
0,AGO,4106
0,AGO,4107
0,AGO,4108
0,AGO,4109
0,AGO,4110
0,AGO,4111
0,AGO,4201
.000132579699227,AGO,4202
0,AGO,4203
0,AGO,4205
